subjects,train_losses,valid_losses,test_loss,train_accs,test_loss,test_acc,training_time,best_epoch
1,0.017420087280635047,0.8733545243740082,1.1377822094493442,99.44506104328525,82.46190012970169,80.42435997457237,55.415833473205566,4
2,0.010874105481586108,1.5578811168670654,0.8247460722923279,100.0,76.59574468085107,86.83510638297872,10.88025689125061,8
3,0.0004731451663246844,0.002686489140614867,0.30190755566582084,100.0,100.0,88.19444444444444,8.479739904403687,43
4,0.013266682880930603,0.3877420127391815,0.6746287643909454,100.0,95.34883720930233,87.3546511627907,9.690294742584229,41
5,0.010945645594620145,1.3727446794509888,0.4662574902176857,100.0,83.72093023255815,87.93604651162791,9.467102766036987,7
6,0.00038408746938027133,1.8605399131774902,1.3360368311405182,100.0,77.77777777777779,86.3425925925926,11.806281328201294,3
7,0.0004639337166736368,0.7005035877227783,0.5195840605301782,100.0,86.11111111111111,80.81597222222223,7.969088792800903,14
8,0.0073363940929993985,0.433476060628891,0.4764635879546404,100.0,86.04651162790698,91.24273255813954,10.235578298568726,8
9,0.00016750571739976294,0.19688911736011505,0.9363026022911072,100.0,92.5925925925926,91.0011574074074,12.234092712402344,42
10,0.00017224019211425912,3.984687328338623,0.1348102986696631,100.0,78.125,92.24759615384616,7.455913543701172,1
11,0.007611287201871164,1.6386085748672485,1.1860774755477905,100.0,75.0,80.35007911392405,8.733937978744507,3
12,0.0005468178529885005,1.0732250213623047,1.1157360871632893,100.0,79.7373670212766,81.97415329768272,20.154141426086426,4
13,9.712590023506588e-05,0.1951499581336975,0.6725593209266663,100.0,94.44444444444444,86.63194444444444,12.768015146255493,22
14,0.06516761645408613,2.5577569007873535,1.3138095140457153,98.51116625310173,72.41379310344827,79.75543478260869,13.05423641204834,1
15,0.004800371112651192,0.837945818901062,1.6697190999984741,100.0,91.66666666666666,83.85416666666667,7.956948518753052,5
16,5.644386474159546e-05,0.5531706809997559,1.1558871567249298,100.0,90.0,84.59256329113924,8.870883226394653,2
17,0.0008701417432998174,1.2418919801712036,1.0831422209739685,100.0,86.88524590163934,88.71670081967213,13.619855165481567,6
18,0.000731036726210732,1.6210488080978394,1.412363886833191,100.0,81.3953488372093,86.19186046511628,9.82154369354248,1
19,0.0008445317556227868,1.217454433441162,1.4832645952701569,100.0,83.33333333333334,88.83101851851852,12.227197408676147,5
20,0.016626435297075658,0.6611757278442383,0.8539991676807404,99.33993399339934,86.04651162790698,84.62936046511628,9.772405862808228,39
21,0.00016367287753382698,1.7912644147872925,2.239736557006836,100.0,75.0,84.63541666666667,7.778041124343872,6
22,0.0004999057928216644,1.033022165298462,1.4159597158432007,100.0,86.0,78.17141089108911,11.081634521484375,6
23,0.0007648595895564844,1.0735262632369995,1.4935312867164612,100.0,88.0,83.77165841584159,11.090534210205078,6
24,0.0005594558489974589,0.9227269291877747,0.5740361288189888,100.0,87.5,88.05379746835442,8.954728364944458,10
25,0.015716099467161775,1.0227175951004028,0.7155419290065765,100.0,82.75862068965517,86.44701086956522,13.158370971679688,7
26,0.00022865956998430192,0.8274352550506592,0.5004259198904037,100.0,83.33333333333334,89.75694444444444,8.087463855743408,10
27,0.0014797485151945011,0.9105095267295837,1.1864839792251587,100.0,84.9585843373494,85.26292670682732,18.11301350593567,8
28,0.0417155317554716,0.4535150080919266,1.4616676966349285,98.12108559498957,78.76838235294117,76.62332725060827,14.9677095413208,12
29,0.0015985242456996015,1.4686801433563232,1.2780165076255798,100.0,75.86206896551724,86.44701086956522,13.537625789642334,15
30,0.0009225073590641841,0.14216461777687073,0.5657692551612854,100.0,90.625,87.59615384615384,7.6726393699646,42
31,0.001566938928772288,1.1481812596321106,1.8685803016026814,99.68253968253968,77.95138888888889,77.33796296296296,19.56911873817444,9
32,0.0004671038368542213,1.6659948825836182,2.4896605014801025,100.0,75.0,80.90277777777777,8.008857488632202,9
33,0.00023142625832406338,1.5589094161987305,1.212949275970459,100.0,79.62962962962963,81.36574074074073,11.939903736114502,10
34,0.000690483852243536,1.5250822305679321,0.22137751057744026,100.0,78.72340425531915,96.30984042553192,11.048849821090698,3
35,0.01626003721982918,2.0932947397232056,1.2610363144194707,99.41262848751835,76.94104381443299,77.71893792955326,21.573201417922974,1
36,0.0034085777413565667,1.438551664352417,1.581364095211029,100.0,80.0,86.0067246835443,8.862196922302246,4
37,0.000290216695551256,0.8066742420196533,0.4103151187300682,100.0,85.1063829787234,90.5252659574468,10.496538639068604,6
38,0.018501786589954605,1.0016676187515259,1.0117057859897614,99.38837920489296,82.97872340425532,84.20877659574468,10.80936050415039,5
39,0.004857754091582527,0.6426634788513184,1.339574009180069,99.75186104218362,84.48275862068965,78.28125,13.92670202255249,13
40,0.005158478069850909,1.3316187858581543,1.0609656274318695,100.0,81.9672131147541,87.97387295081967,14.015376329421997,5
41,0.01176644814646958,1.384934663772583,1.0004976838827133,100.0,88.0,87.60055693069307,11.422713279724121,7
42,0.002411103025744004,1.2557082176208496,2.2357401251792908,100.0,72.41379310344827,72.11277173913044,12.929792165756226,0
43,0.0006104453750594985,0.14792773127555847,0.2657104432582855,100.0,94.44444444444444,95.65972222222223,8.558025360107422,39
