subject,acc3DCNN,accSVM,accParallel,accCMCNN
2,88.29787234,80.14184397,86.83510638,80.85106383
3,79.16666667,90.74074074,88.19444444,93.05555556
4,81.6091954,95.38461538,87.35465116,82.55813953
5,87.35632184,91.53846154,87.93604651,81.39534884
6,83.33333333,83.33333333,86.34259259,83.33333333
7,88.88888889,87.96296296,80.81597222,83.33333333
8,86.20689655,87.69230769,91.24273256,82.55813953
9,88.88888889,90.12345679,91.00115741,75.92592593
10,89.23076923,92.85714286,92.24759615,84.61538462
11,75,85.71428571,80.35007911,84.81012658
12,84.57446809,81.49466192,81.9741533,84.49197861
13,87.96296296,85.80246914,86.63194444,87.96296296
14,80.17241379,88.43930636,79.75543478,78.26086957
15,88.88888889,86.11111111,83.85416667,93.05555556
16,92.5,86.55462185,84.59256329,87.34177215
17,84.55284553,87.5,88.71670082,88.52459016
18,88.50574713,88.46153846,86.19186047,82.55813953
19,82.40740741,86.41975309,88.83101852,87.96296296
20,82.75862069,83.07692308,84.62936047,90.69767442
21,81.94444444,93.51851852,84.63541667,93.05555556
22,84.15841584,85.52631579,78.17141089,81.18811881
23,81.18811881,84.86842105,83.77165842,83.16831683
24,87.5,89.91596639,88.05379747,79.74683544
25,81.89655172,88.43930636,86.44701087,77.39130435
26,87.5,90.74074074,89.75694444,79.16666667
28,81.75182482,82.03883495,76.62332725,87.59124088
29,83.62068966,90.1734104,86.44701087,85.2173913
30,86.15384615,89.79591837,87.59615385,87.69230769
31,78.88888889,85.18518519,77.33796296,85
32,86.11111111,87.03703704,80.90277778,83.33333333
33,87.03703704,86.41975309,81.36574074,83.33333333
34,84.04255319,89.36170213,96.30984043,78.72340426
35,76.41025641,84.24657534,77.71893793,82.98969072
36,78.75,86.55462185,86.00672468,91.13924051
37,74.46808511,83.68794326,90.52526596,80.85106383
38,79.78723404,82.26950355,84.2087766,91.4893617
39,85.34482759,85.54913295,78.28125,84.34782609
40,82.11382114,84.7826087,87.97387295,86.06557377
41,84.15841584,81.57894737,87.60055693,89.10891089
42,79.31034483,82.08092486,72.11277174,81.73913043
43,83.33333333,91.66666667,95.65972222,73.61111111
